,county,school_dist,school_dist_code,final_grad_base,graduates_total,graduation_rate,completers_total,completion_rate
0,STATE TOTAL,STATE TOTAL,9999.0,25718.0,15791.0,61.4,16726.0,65.0
1,STATE TOTAL,STATE TOTAL,9999.0,25718.0,15791.0,61.4,16726.0,65.0
2,ADAMS,MAPLETON 1,10.0,374.0,142.0,38.0,154.0,41.2
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,1100.0,627.0,57.0,673.0,61.2
4,ADAMS,ADAMS COUNTY 14,30.0,469.0,309.0,65.9,316.0,67.4
5,ADAMS,BRIGHTON 27J,40.0,338.0,215.0,63.6,229.0,67.8
6,ADAMS,BENNETT 29J,50.0,21.0,17.0,81.0,17.0,81.0
7,ADAMS,STRASBURG 31J,60.0,45.0,36.0,80.0,36.0,80.0
8,ADAMS,WESTMINSTER 50,70.0,452.0,270.0,59.7,278.0,61.5
9,ALAMOSA,ALAMOSA RE-11J,100.0,118.0,79.0,66.9,82.0,69.5
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,12.0,9.0,75.0,10.0,83.3
11,ARAPAHOE,ENGLEWOOD 1,120.0,191.0,76.0,39.8,85.0,44.5
12,ARAPAHOE,SHERIDAN 2,123.0,131.0,41.0,31.3,43.0,32.8
13,ARAPAHOE,CHERRY CREEK 5,130.0,1100.0,894.0,81.3,915.0,83.2
14,ARAPAHOE,LITTLETON 6,140.0,247.0,181.0,73.3,190.0,76.9
15,ARAPAHOE,DEER TRAIL 26J,170.0,11.0,10.0,90.9,10.0,90.9
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,2004.0,901.0,45.0,931.0,46.5
17,ARAPAHOE,BYERS 32J,190.0,10.0,10.0,100.0,10.0,100.0
18,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,59.0,38.0,64.4,40.0,67.8
19,BACA,WALSH RE-1,230.0,7.0,7.0,100.0,7.0,100.0
20,BACA,PRITCHETT RE-3,240.0,4.0,3.0,75.0,4.0,100.0
21,BACA,SPRINGFIELD RE-4,250.0,15.0,13.0,86.7,14.0,93.3
22,BACA,VILAS RE-5,260.0,53.0,10.0,18.9,18.0,34.0
23,BACA,CAMPO RE-6,270.0,3.0,3.0,100.0,3.0,100.0
24,BENT,LAS ANIMAS RE-1,290.0,25.0,18.0,72.0,18.0,72.0
25,BENT,MC CLAVE RE-2,310.0,14.0,13.0,92.9,13.0,92.9
26,BOULDER,ST VRAIN VALLEY RE 1J,470.0,587.0,403.0,68.7,412.0,70.2
27,BOULDER,BOULDER VALLEY RE 2,480.0,508.0,374.0,73.6,387.0,76.2
28,CHAFFEE,BUENA VISTA R-31,490.0,34.0,26.0,76.5,27.0,79.4
29,CHAFFEE,SALIDA R-32,500.0,25.0,19.0,76.0,19.0,76.0
30,CHEYENNE,KIT CARSON R-1,510.0,3.0,2.0,66.7,2.0,66.7
31,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,7.0,5.0,71.4,6.0,85.7
32,CLEAR CREEK,CLEAR CREEK RE-1,540.0,22.0,18.0,81.8,18.0,81.8
33,CONEJOS,NORTH CONEJOS RE-1J,550.0,64.0,57.0,89.1,57.0,89.1
34,CONEJOS,SANFORD 6J,560.0,10.0,7.0,70.0,8.0,80.0
35,CONEJOS,SOUTH CONEJOS RE-10,580.0,18.0,14.0,77.8,14.0,77.8
36,COSTILLA,CENTENNIAL R-1,640.0,14.0,13.0,92.9,13.0,92.9
37,COSTILLA,SIERRA GRANDE R-30,740.0,16.0,14.0,87.5,14.0,87.5
38,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,31.0,28.0,90.3,30.0,96.8
39,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,20.0,18.0,90.0,18.0,90.0
40,DELTA,DELTA COUNTY 50(J),870.0,238.0,188.0,79.0,193.0,81.1
41,DENVER,DENVER COUNTY 1,880.0,3745.0,2010.0,53.7,2153.0,57.5
42,DOLORES,DOLORES COUNTY RE NO.2,890.0,11.0,9.0,81.8,10.0,90.9
43,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,534.0,346.0,64.8,368.0,68.9
44,EAGLE,EAGLE COUNTY RE 50,910.0,149.0,113.0,75.8,113.0,75.8
45,ELBERT,ELIZABETH C-1,920.0,36.0,29.0,80.6,29.0,80.6
46,ELBERT,KIOWA C-2,930.0,10.0,10.0,100.0,10.0,100.0
47,ELBERT,BIG SANDY 100J,940.0,14.0,13.0,92.9,13.0,92.9
48,ELBERT,ELBERT 200,950.0,4.0,2.0,50.0,2.0,50.0
49,ELBERT,AGATE 300,960.0,0.0,0.0,0.0,0.0,0.0
50,EL PASO,CALHAN RJ-1,970.0,23.0,21.0,91.3,21.0,91.3
51,EL PASO,HARRISON 2,980.0,385.0,287.0,74.5,293.0,76.1
52,EL PASO,WIDEFIELD 3,990.0,257.0,183.0,71.2,190.0,73.9
53,EL PASO,FOUNTAIN 8,1000.0,161.0,122.0,75.8,124.0,77.0
54,EL PASO,COLORADO SPRINGS 11,1010.0,1142.0,621.0,54.4,678.0,59.4
55,EL PASO,CHEYENNE MOUNTAIN 12,1020.0,30.0,23.0,76.7,24.0,80.0
56,EL PASO,MANITOU SPRINGS 14,1030.0,44.0,37.0,84.1,41.0,93.2
57,EL PASO,ACADEMY 20,1040.0,276.0,210.0,76.1,216.0,78.3
58,EL PASO,ELLICOTT 22,1050.0,37.0,30.0,81.1,31.0,83.8
59,EL PASO,PEYTON 23 JT,1060.0,17.0,17.0,100.0,17.0,100.0
60,EL PASO,HANOVER 28,1070.0,12.0,10.0,83.3,10.0,83.3
61,EL PASO,LEWIS-PALMER 38,1080.0,51.0,40.0,78.4,40.0,78.4
62,EL PASO,FALCON 49,1110.0,258.0,213.0,82.6,213.0,82.6
63,EL PASO,EDISON 54 JT,1120.0,8.0,6.0,75.0,6.0,75.0
64,EL PASO,MIAMI/YODER 60 JT,1130.0,10.0,9.0,90.0,9.0,90.0
65,FREMONT,CANON CITY RE-1,1140.0,171.0,94.0,55.0,108.0,63.2
66,FREMONT,FREMONT RE-2,1150.0,60.0,47.0,78.3,51.0,85.0
67,FREMONT,COTOPAXI RE-3,1160.0,10.0,8.0,80.0,9.0,90.0
68,GARFIELD,ROARING FORK RE-1,1180.0,101.0,73.0,72.3,73.0,72.3
69,GARFIELD,GARFIELD RE-2,1195.0,149.0,90.0,60.4,111.0,74.5
70,GARFIELD,GARFIELD 16,1220.0,48.0,36.0,75.0,37.0,77.1
71,GILPIN,GILPIN COUNTY RE-1,1330.0,8.0,5.0,62.5,5.0,62.5
72,GRAND,WEST GRAND 1-JT.,1340.0,5.0,5.0,100.0,5.0,100.0
73,GRAND,EAST GRAND 2,1350.0,27.0,11.0,40.7,17.0,63.0
74,GUNNISON,GUNNISON WATERSHED RE1J,1360.0,26.0,20.0,76.9,20.0,76.9
75,HINSDALE,HINSDALE COUNTY RE 1,1380.0,0.0,0.0,0.0,0.0,0.0
76,HUERFANO,HUERFANO RE-1,1390.0,33.0,25.0,75.8,28.0,84.8
77,HUERFANO,LA VETA RE-2,1400.0,9.0,8.0,88.9,8.0,88.9
78,JACKSON,NORTH PARK R-1 ,1410.0,8.0,6.0,75.0,6.0,75.0
79,JEFFERSON,JEFFERSON COUNTY R-1,1420.0,2090.0,1351.0,64.6,1423.0,68.1
80,KIOWA,EADS RE-1,1430.0,9.0,8.0,88.9,9.0,100.0
81,KIOWA,PLAINVIEW RE-2,1440.0,1.0,0.0,0.0,1.0,100.0
82,KIT CARSON,ARRIBA-FLAGLER C-20,1450.0,3.0,2.0,66.7,2.0,66.7
83,KIT CARSON,HI-PLAINS R-23,1460.0,5.0,4.0,80.0,4.0,80.0
84,KIT CARSON,STRATTON R-4,1480.0,10.0,9.0,90.0,10.0,100.0
85,KIT CARSON,BETHUNE R-5,1490.0,7.0,7.0,100.0,7.0,100.0
86,KIT CARSON,BURLINGTON RE-6J,1500.0,31.0,24.0,77.4,24.0,77.4
87,LAKE,LAKE COUNTY R-1,1510.0,43.0,29.0,67.4,29.0,67.4
88,LA PLATA,DURANGO 9-R,1520.0,116.0,67.0,57.8,80.0,69.0
89,LA PLATA,BAYFIELD 10 JT-R,1530.0,15.0,12.0,80.0,13.0,86.7
90,LA PLATA,IGNACIO 11 JT,1540.0,31.0,22.0,71.0,22.0,71.0
91,LARIMER,POUDRE R-1,1550.0,617.0,448.0,72.6,469.0,76.0
92,BOULDER,THOMPSON R2-J,1560.0,407.0,249.0,61.2,276.0,67.8
93,LARIMER,PARK (ESTES PARK) R-3,1570.0,26.0,18.0,69.2,18.0,69.2
94,LAS ANIMAS,TRINIDAD 1,1580.0,79.0,66.0,83.5,70.0,88.6
95,LAS ANIMAS,PRIMERO REORGANIZED 2,1590.0,5.0,3.0,60.0,3.0,60.0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,1600.0,8.0,8.0,100.0,8.0,100.0
97,LAS ANIMAS,AGUILAR REORGANIZED 6,1620.0,12.0,6.0,50.0,6.0,50.0
98,LAS ANIMAS,BRANSON REORGANIZED 82,1750.0,19.0,7.0,36.8,8.0,42.1
99,LAS ANIMAS,KIM REORGANIZED 88,1760.0,3.0,3.0,100.0,3.0,100.0
100,LINCOLN,GENOA-HUGO C113,1780.0,10.0,4.0,40.0,4.0,40.0
101,LINCOLN,LIMON RE-4J,1790.0,22.0,18.0,81.8,18.0,81.8
102,LINCOLN,KARVAL RE-23,1810.0,20.0,11.0,55.0,13.0,65.0
103,LOGAN,VALLEY RE-1,1828.0,87.0,56.0,64.4,61.0,70.1
104,LOGAN,FRENCHMAN RE-3,1850.0,3.0,3.0,100.0,3.0,100.0
105,LOGAN,BUFFALO RE-4J,1860.0,10.0,10.0,100.0,10.0,100.0
106,LOGAN,PLATEAU RE-5,1870.0,4.0,4.0,100.0,4.0,100.0
107,MESA,DE BEQUE 49JT,1980.0,4.0,3.0,75.0,3.0,75.0
108,MESA,PLATEAU VALLEY 50,1990.0,67.0,17.0,25.4,29.0,43.3
109,MESA,MESA COUNTY VALLEY 51,2000.0,538.0,365.0,67.8,379.0,70.4
110,MINERAL,CREEDE SCHOOL DISTRICT,2010.0,2.0,1.0,50.0,1.0,50.0
111,MOFFAT,MOFFAT COUNTY RE:NO 1,2020.0,68.0,44.0,64.7,46.0,67.6
112,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,2035.0,132.0,55.0,41.7,59.0,44.7
113,MONTEZUMA,DOLORES RE-4A,2055.0,21.0,17.0,81.0,18.0,85.7
114,MONTEZUMA,MANCOS RE-6,2070.0,13.0,12.0,92.3,13.0,100.0
115,MONTROSE,MONTROSE COUNTY RE-1J,2180.0,266.0,187.0,70.3,190.0,71.4
116,MONTROSE,WEST END RE-2,2190.0,5.0,3.0,60.0,3.0,60.0
117,MORGAN,BRUSH RE-2(J),2395.0,61.0,44.0,72.1,50.0,82.0
118,MORGAN,FORT MORGAN RE-3,2405.0,159.0,99.0,62.3,116.0,73.0
119,MORGAN,WELDON VALLEY RE-20(J),2505.0,6.0,6.0,100.0,6.0,100.0
120,MORGAN,WIGGINS RE-50(J),2515.0,28.0,19.0,67.9,19.0,67.9
121,OTERO,EAST OTERO R-1,2520.0,78.0,65.0,83.3,69.0,88.5
122,OTERO,ROCKY FORD R-2,2530.0,41.0,28.0,68.3,34.0,82.9
