,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,9999.0,21337.0,11326.0,53.1,9665.0,45.3,11558.0,54.2
1,STATE TOTAL,STATE TOTAL,9999.0,21337.0,11326.0,53.1,9665.0,45.3,11558.0,54.2
2,ADAMS,MAPLETON 1,10.0,214.0,142.0,66.4,70.0,32.7,79.0,36.9
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,705.0,290.0,41.1,403.0,57.2,481.0,68.2
4,ADAMS,ADAMS COUNTY 14,30.0,886.0,433.0,48.9,440.0,49.7,529.0,59.7
5,ADAMS,BRIGHTON 27J,40.0,383.0,122.0,31.9,260.0,67.9,287.0,74.9
6,ADAMS,BENNETT 29J,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ADAMS,STRASBURG 31J,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ADAMS,WESTMINSTER 50,70.0,1464.0,815.0,55.7,637.0,43.5,728.0,49.7
9,ALAMOSA,ALAMOSA RE-11J,100.0,84.0,26.0,31.0,58.0,69.0,60.0,71.4
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ARAPAHOE,ENGLEWOOD 1,120.0,257.0,111.0,43.2,145.0,56.4,165.0,64.2
12,ARAPAHOE,SHERIDAN 2,123.0,117.0,64.0,54.7,53.0,45.3,57.0,48.7
13,ARAPAHOE,CHERRY CREEK 5,130.0,57.0,34.0,59.6,23.0,40.4,26.0,45.6
14,ARAPAHOE,LITTLETON 6,140.0,204.0,133.0,65.2,68.0,33.3,73.0,35.8
15,ARAPAHOE,DEER TRAIL 26J,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,2297.0,1150.0,50.1,1073.0,46.7,1297.0,56.5
17,ARAPAHOE,BYERS 32J,190.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
18,GRAND,EAST GRAND 2,1350.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
19,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,14.0,3.0,21.4,11.0,78.6,12.0,85.7
20,BACA,WALSH RE-1,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,BACA,PRITCHETT RE-3,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,BACA,SPRINGFIELD RE-4,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,BACA,VILAS RE-5,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BACA,CAMPO RE-6,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,BENT,LAS ANIMAS RE-1,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,BENT,MC CLAVE RE-2,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,BOULDER,ST VRAIN VALLEY RE 1J,470.0,936.0,490.0,52.4,431.0,46.0,508.0,54.3
28,BOULDER,BOULDER VALLEY RE 2,480.0,800.0,511.0,63.9,286.0,35.8,324.0,40.5
29,CHAFFEE,BUENA VISTA R-31,490.0,1.0,0.0,0.0,1.0,100.0,1.0,100.0
30,CHAFFEE,SALIDA R-32,500.0,8.0,4.0,50.0,4.0,50.0,5.0,62.5
31,CHEYENNE,KIT CARSON R-1,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,CLEAR CREEK,CLEAR CREEK RE-1,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,CONEJOS,NORTH CONEJOS RE-1J,550.0,1.0,0.0,0.0,1.0,100.0,1.0,100.0
35,CONEJOS,SANFORD 6J,560.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
36,CONEJOS,SOUTH CONEJOS RE-10,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,COSTILLA,CENTENNIAL R-1,640.0,47.0,19.0,40.4,28.0,59.6,33.0,70.2
38,COSTILLA,SIERRA GRANDE R-30,740.0,30.0,11.0,36.7,19.0,63.3,19.0,63.3
39,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,DELTA,DELTA COUNTY 50(J),870.0,61.0,15.0,24.6,45.0,73.8,52.0,85.2
42,DENVER,DENVER COUNTY 1,880.0,2080.0,1038.0,49.9,960.0,46.2,1299.0,62.5
43,DOLORES,DOLORES COUNTY RE NO.2,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,678.0,399.0,58.8,276.0,40.7,335.0,49.4
45,EAGLE,EAGLE COUNTY RE 50,910.0,87.0,42.0,48.3,45.0,51.7,50.0,57.5
46,ELBERT,ELIZABETH C-1,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ELBERT,KIOWA C-2,930.0,2.0,1.0,50.0,1.0,50.0,1.0,50.0
48,ELBERT,BIG SANDY 100J,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,ELBERT,ELBERT 200,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,ELBERT,AGATE 300,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,EL PASO,CALHAN RJ-1,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,EL PASO,HARRISON 2,980.0,60.0,13.0,21.7,47.0,78.3,51.0,85.0
53,EL PASO,WIDEFIELD 3,990.0,93.0,28.0,30.1,64.0,68.8,76.0,81.7
54,EL PASO,FOUNTAIN 8,1000.0,323.0,148.0,45.8,173.0,53.6,194.0,60.1
55,EL PASO,COLORADO SPRINGS 11,1010.0,1567.0,757.0,48.3,789.0,50.4,1019.0,65.0
56,EL PASO,CHEYENNE MOUNTAIN 12,1020.0,5.0,2.0,40.0,3.0,60.0,3.0,60.0
57,EL PASO,MANITOU SPRINGS 14,1030.0,3.0,0.0,0.0,3.0,100.0,3.0,100.0
58,EL PASO,ACADEMY 20,1040.0,28.0,21.0,75.0,7.0,25.0,7.0,25.0
59,EL PASO,ELLICOTT 22,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,EL PASO,PEYTON 23 JT,1060.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
61,EL PASO,HANOVER 28,1070.0,31.0,14.0,45.2,17.0,54.8,18.0,58.1
62,EL PASO,LEWIS-PALMER 38,1080.0,5.0,1.0,20.0,4.0,80.0,4.0,80.0
63,EL PASO,FALCON 49,1110.0,24.0,13.0,54.2,11.0,45.8,14.0,58.3
64,EL PASO,EDISON 54 JT,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,EL PASO,MIAMI/YODER 60 JT,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,FREMONT,CANON CITY RE-1,1140.0,10.0,0.0,0.0,10.0,100.0,10.0,100.0
67,FREMONT,FREMONT RE-2,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,FREMONT,COTOPAXI RE-3,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,GARFIELD,ROARING FORK RE-1,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,GARFIELD,GARFIELD RE-2,1195.0,129.0,89.0,69.0,39.0,30.2,44.0,34.1
71,GARFIELD,GARFIELD 16,1220.0,5.0,0.0,0.0,5.0,100.0,8.0,160.0
72,GILPIN,GILPIN COUNTY RE-1,1330.0,2.0,1.0,50.0,1.0,50.0,1.0,50.0
73,GRAND,WEST GRAND 1-JT.,1340.0,3.0,0.0,0.0,3.0,100.0,3.0,100.0
74,GUNNISON,GUNNISON WATERSHED RE1J,1360.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
75,HINSDALE,HINSDALE COUNTY RE 1,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,HUERFANO,HUERFANO RE-1,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,HUERFANO,LA VETA RE-2,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,JACKSON,NORTH PARK R-1 ,1410.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
79,JEFFERSON,JEFFERSON COUNTY R-1,1420.0,2900.0,1730.0,59.7,1133.0,39.1,1305.0,45.0
80,KIOWA,EADS RE-1,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,KIOWA,PLAINVIEW RE-2,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,KIT CARSON,ARRIBA-FLAGLER C-20,1450.0,9.0,0.0,0.0,9.0,100.0,9.0,100.0
83,KIT CARSON,HI-PLAINS R-23,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,KIT CARSON,STRATTON R-4,1480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,KIT CARSON,BETHUNE R-5,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,KIT CARSON,BURLINGTON RE-6J,1500.0,23.0,6.0,26.1,17.0,73.9,17.0,73.9
87,LAKE,LAKE COUNTY R-1,1510.0,8.0,1.0,12.5,7.0,87.5,7.0,87.5
88,LA PLATA,DURANGO 9-R,1520.0,54.0,23.0,42.6,27.0,50.0,31.0,57.4
89,LA PLATA,BAYFIELD 10 JT-R,1530.0,10.0,4.0,40.0,6.0,60.0,6.0,60.0
90,LA PLATA,IGNACIO 11 JT,1540.0,2.0,1.0,50.0,1.0,50.0,1.0,50.0
91,LARIMER,POUDRE R-1,1550.0,721.0,497.0,68.9,217.0,30.1,268.0,37.2
92,BOULDER,THOMPSON R2-J,1560.0,355.0,162.0,45.6,189.0,53.2,212.0,59.7
93,LARIMER,PARK (ESTES PARK) R-3,1570.0,11.0,4.0,36.4,7.0,63.6,7.0,63.6
94,LAS ANIMAS,TRINIDAD 1,1580.0,12.0,0.0,0.0,12.0,100.0,13.0,108.3
95,LAS ANIMAS,PRIMERO REORGANIZED 2,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,1600.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
97,LAS ANIMAS,AGUILAR REORGANIZED 6,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,LAS ANIMAS,BRANSON REORGANIZED 82,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,LAS ANIMAS,KIM REORGANIZED 88,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,LINCOLN,GENOA-HUGO C113,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,LINCOLN,LIMON RE-4J,1790.0,15.0,1.0,6.7,14.0,93.3,14.0,93.3
102,LINCOLN,KARVAL RE-23,1810.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
103,LOGAN,VALLEY RE-1,1828.0,20.0,7.0,35.0,13.0,65.0,16.0,80.0
104,LOGAN,FRENCHMAN RE-3,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,LOGAN,BUFFALO RE-4J,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,LOGAN,PLATEAU RE-5,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,MESA,DE BEQUE 49JT,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,MESA,PLATEAU VALLEY 50,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,MESA,MESA COUNTY VALLEY 51,2000.0,388.0,209.0,53.9,173.0,44.6,216.0,55.7
110,MINERAL,CREEDE SCHOOL DISTRICT,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,MOFFAT,MOFFAT COUNTY RE:NO 1,2020.0,32.0,7.0,21.9,24.0,75.0,31.0,96.9
112,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,2035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,MONTEZUMA,DOLORES RE-4A,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
